"doc_id","page_name.y","ad_creative_bodies.y"
"doc1542","braulio braz","durante meu mandato, me comprometi com meus parceiros a desempenhar meu maximo para desenvolver cada vez mais minas gerais.
por isso atraves de minha indicacao,  goncalves recebeu um repasse no valor de r$ 400.000,00 que sera destinado a calcamento das ruas do municipio.
essa emenda e consequencia da minha parceria com meu amigo e prefeito do municipio marcio do zeze, que vem realizando um trabalho extraordinario em seu mandato, e com demais liderancas.
e sempre uma honra estar ao lado de representantes que buscam o melhor para o seu povo e para seu estado."
"doc1547","odair cunha","kits de enxoval para o hospital dona chiquita  #saojoaobatistadogloria 

nos temos compromisso com a #saude de nossa regiao. por isso, foi com muita alegria que entregamos para o #hospital municipal dona chiquita, em sao joao batista do gloria, cerca de 60 kits de enxoval, confeccionados pelos alunos do curso de corte e costura do ifsuldeminas - campus passos . cada kit e composto por lencol, fronha e camisola. 

🔳(d) o capacita sul de minas e uma iniciativa de cursos de formacao profissional realizada pelo instituto federal de educacao, ciencia e tecnologia do sul de minas gerais  em parceria com nosso mandato. todo o material confeccionado pelos alunos do curso de corte e costura esta sendo doado as santas casas e hospitais da regiao. sao itens essenciais e que oferecem mais conforto para pacientes, enfermeiros e medicos. 

participaram da entrega o prefeito celso henrique (celsinho); a secretaria de saude, silvania vilela;  o coordenador dos cursos do capacita sul de minas, clayton mendes; os ex-vereadores weider e everaldo e os amigos juarez moreira  e manoel de simone."
"doc1552","braulio braz","estive ontem (04/05) no der (departamento de edificacoes e estradas de rodagem de minas gerais) acompanhando meu amigo e prefeito darci da loja, do municipio de carmo de minas, dialogando sobre melhorias nas rodovias que dao acesso a cidade e sobre a construcao de um portal de entrada na cidade.

um dos pontos que passara por melhorias e a rodovia que da acesso entre o municipio de carmo de minas e cristina, que se encontra atualmente com varias questoes que dificultam o trajeto de quem passa por la.

ja o portal, trara uma nova visao para quem chega ao municipio, valorizando a cidade e o entorno, incentivando pessoas a circularem por ali, devido a construcao de quiosques.

na ocasiao, estiveram presentes o secretario de insfraestrutura e mobilidade de minas gerais, fernando marcato, juntamente com o diretor geral do der, robson santana.

e muito importante ter grandes parceiros nesta caminhada, que trabalham por uma minas cada vez melhor. aproveito e deixo aqui os meus agradecimentos ao der."
"doc1577","deputado federal dimas fabiano","⛹🉰🩰🉰
ja estao na conta da prefeitura de machado r$ 763.439 mil que serao usados para a construcao de uma quadra poliesportiva de 773 m² no centro de educacao infantil professor cleiton pereira goncalves, beneficiando os estudantes da regiao com esporte e lazer de primeira qualidade.

esse recurso foi possivel atraves de emenda parlamentar de minha autoria atendendo a solicitacao do prefeito maycon, dos vereadores roger, dirce, juliano campos e erivelton, juntamente com o grupo politico que me apoia na cidade.

fico muito feliz em fazer parte de mais essa conquista para a cidade de machado! os machadenses podem sempre contar comigo na camara dos deputados e em minas gerais! 

#machado #machadomg #minasgerais #mg #educacao #deputadodimasfabiano #depdimasfabiano
⛹🉰🩰🉰"
"doc1581","sergio felix","juiz de fora, mais vez, perde a oportunidade de incentivar a expansao economica e ampliar a geracao de empregos. perdemos a oportunidade de sediar a primeira fabrica da heineken em minas gerais. a politica desenvolvida para a atracao de empresas para o municipio continua aquem do ideal. a cidade de passos foi a escolhida para receber uma unidade da empresa. serao investimentos de cerca de r$ 1,8 bilhao."
"doc1584","braulio braz","ainda hoje, prossegui com atendimentos a liderancas de minas gerais. estive com o ex-prefeito de campo do meio, robson machado, e tivemos uma conversa extremamente proveitosa para ambos.
ao longo da reuniao, discorremos e avaliamos como poderiamos impactar positivamente na vida do cidadao  campo-meiense.
e com compromisso e dedicacao, que continuaremos fazendo o possivel para transformar vidas para melhor."
"doc1592","igor timo","recurso na conta. destinei mais r$ 50 mil em verbas federais para compra de equipamento para o servico social de machado"
"doc1618","odair cunha","lula fala para o sul e sudoeste de minas na radio passos fm"
"doc1619","odair cunha","::: alo, minas gerais! nesta terca, as 11h, tem lula ao vivo na radio passos 94,7 fm ! imperdivel! acompanhe aqui em nossa pagina. 🚠"
"doc1620","odair cunha","::: alo, minas gerais! nesta terca, as 11h, tem lula ao vivo na radio passos 94,7 fm ! imperdivel! acompanhe aqui em nossa pagina. 🚠"
"doc1623","luiz fernando faria","sempre buscarei defender meu estado com paixao e dedicacao, tendo a missao de servir a minas gerais. por isso, carrego a bandeira do agronegocio, hasteando-a acima de todas as outras que simbolizam meu apoio ao seu desenvolvimento; assim como a dos pequenos e medios municipios que devem ser reconhecidas pelas politicas do estado."
"doc1625","odair cunha","ha alguns dias, em extrema, a companheira lourdinha rocha me emocionou com um texto que ela escreveu sobre o assassinato brutal do jovem congoles moise kabagambe. pedi a ela permissao para fazer ecoar suas palavras na camara dos deputados, pois nao podemos permitir que o silencio e o esquecimento dessa violencia prevalecam."
"doc1633","odair cunha","capacitacao profissional e solidariedade

e fundamental que nossas instituicoes possam se ajudar e trabalhar juntas em tempos tao dificeis. por isso foi com muito prazer que entregamos hoje a santa casa de misericordia de boa esperanca  os 100 lencois e 100 fronhas confeccionados no campus do ifsuldeminas - campus passos .  o material esta sendo produzido pelos alunos do curso de corte e costura do programa capacita sul de minas e doado para diversas entidades da regiao. sao cerca de 500 alunos, que produzirao, ao final do projeto, aproximadamente 5000 lencois, 50000 fronhas e 1500 camisolas! participaram conosco da entrega os  membros da santa casa dra. maria celeste, provedora e presidente, ricardo, diretor, e dr. anderson figueiredo, do conselho fiscal, alem da diretora de extensao do ifsul, roselei eleoterio.

🐡 o capacita sul de minas e uma iniciativa de cursos de formacao profissional realizada pelo instituto federal de educacao, ciencia e tecnologia do sul de minas gerais  em parceria com nosso mandato. estamos destinando r$ 2 milhoes para capacitacao, a distancia e presencial, em 16 cursos de formacao continuada e pos-graduacao gratuitos em toda a regiao. uma maneira de ajudar nosso povo a se reinserir no mercado de trabalho. 

#solidariedade #saude #educacao #ifsuldeminas #costura #capacitacao #emprego #renda #curso #passos #boaesperanca"
"doc1634","odair cunha","nos temos compromisso com a saude e com as entidades que cuidam da nossa gente. por isso foi com muito orgulho que entregamos para a santa-casa de machado os novos itens do enxoval confeccionados pelos alunos do curso de corte e costura do instituto federal de educacao, ciencia e tecnologia do sul de minas gerais. durante o curso, que faz parte do programa capacita sul de minas, os 500 alunos produzirao aproximadamente 5000 lencois, 50000 fronhas e 1500 camisolas, que ja estao sendo doados as santas casas e hospitais da regiao. sao itens essenciais no dia a dia das entidades, e que farao a diferenca para os pacientes, enfermeiros e medicos. 

participaram da entrega o deputado estadual ulysses gomes, o diretor da santa casa, aryovaldo; o ex-prefeito e coordenador de relacoes institucionais do ifsuldeminas - campus machado , roberto camilo orfao morais; a diretora de extensao do ifsul, roselei eleoterio; o presidente do pt, leonardo; vereadores e liderancas. 

📠 o capacita sul de minas e uma iniciativa de cursos de formacao profissional realizada pelo ifsuldeminas em parceria com nosso mandato e do deputado estadual ulysses gomes . estamos destinando r$ 2 milhoes para capacitacao, a distancia e presencial, em 16 cursos de formacao continuada e pos-graduacao gratuitos em toda a regiao. uma maneira de ajudar nosso povo a se reinserir no mercado de trabalho."
"doc1636","odair cunha","o #tbt de hoje e sobre solidariedade e capacitacao profissional. em janeiro entregamos kits com lencois e fronhas confeccionados pelo instituto federal de educacao, ciencia e tecnologia do sul de minas gerais a santa casa de misericordia de boa esperanca . os enxovais foram produzidos pelos alunos do cursos de corte e costura do capacita sul de minas. seguimos juntos trabalhando pelos hospitais, santas casas e entidades que cuidam da saude do nosso povo e da nossa gente! 

📴 o capacita sul de minas e uma iniciativa de cursos de formacao profissional realizada pelo instituto federal de educacao, ciencia e tecnologia do sul de minas gerais em parceria com nosso mandato. estamos destinando r$ 2 milhoes para capacitacao, a distancia e presencial, em 16 cursos de formacao continuada e pos-graduacao gratuitos em toda a regiao. uma maneira de ajudar nosso povo a se reinserir no mercado de trabalho. 

#solidariedade #saude #educacao #ifsuldeminas #costura #capacitacao #emprego #renda #curso #passos #boaesperanca"
"doc1637","delegado marcelo freitas","a semana em brasilia/df tem sido de intensos trabalhos. recebemos, com muito orgulho e satisfacao, os nossos prefeitos, vice-prefeitos, vereadores, secretarios municipais e amigos das cidades de: 

■ rio pardo de minas: o prefeito astor de sa (tuquinha) e o vice-prefeito davitt bastos;

■ brasilia de minas: o prefeito dr. marcus vinicius e o vereador elizeu fernandes de angicos; 

■ santo antonio do retiro: o prefeito ivo do sindicato; 

■ pirapora: o prefeito alex cesar e secretarios municipais; 

■ corinto: o prefeito evaldo dos reis (evaldao); 

■ catuti: o prefeito delermando franca; 

■ joao pinheiro: o prefeito edmar xavier (edinho); 

■ paracatu: o prefeito igor santos e o vice-prefeito dr. gabriel ferrao, com secretarios; 

■ joaquim felicio: o prefeito miguelzinho de helmar; 

■ santa cruz de salinas: o prefeito jose saraiva (ze de bile) e o vice-prefeito joaquim barbosa (kinim); 

■juramento: a prefeita marlene de venancio, com secretarios/amigos; 

■ passos: o prefeito diego oliveira; 

■ sao romao: o prefeito marcelo meireles; 

■ serranopolis de minas: o prefeito max vinicius (marcao);

■ sao joao das missoes: o prefeito jair xakriaba;

■ guaraciama: o prefeito ze maria (dedim); 

■ lontra: o amigo e secretario adenilson, irmao do nosso prefeito macarrao; 

■ uberlandia: o nosso amigo thiago fernandes; 

■ iturama: o vice-prefeito olegario ferreira e os secretarios municipais de saude e educacao, rogerio barroso e saulo vieira.

nosso mandato e de resultados! estamos dando toda assistencia aos municipios, levando politica com seriedade para minas gerais. seguimos trabalhando na construcao de novos tempos para o nosso pais!"
"doc1638","deputado federal dimas fabiano","🌇✍🌇🜇
ja foram iniciadas na cidade de carvalhos as obras de calcamento e manilhamento das ruas diogenes alves diniz e joaquim goncalves dos santos e de drenagem da rua sebastiao leal borges, beneficiando os moradores da regiao com mais qualidade de vida e imoveis muito mais valorizados.

as obras foram possiveis atraves de r$ 248.300 mil em emendas parlamentares de minha autoria atendendo a solicitacao dos vereadores adams nenem, marquinho pulanagua, valmiro da silva, roseni e fatinha enfermeira, juntamente com o grupo politico que me apoia na cidade. 

carvalhos e toda a populacao carvalhense podem sempre contar comigo na camara dos deputados e em minas gerais!

#carvalhos #carvalhosmg #recursos #infraestutura #minasgerais #mg #deputadodimasfabiano #depdimasfabiano
🌇✍🌇🜇"
"doc1639","julio delgado","acionei o ministerio publico para  mover uma acao na justica com o objetivo de suspender a cobranca da bandeira de escassez hidrica nas contas de luz.

chega a ser ate um deboche, com quase 20% dos municipios mineiros debaixo d'agua, as pessoas pagarem uma tarifa por escassez de agua. 

estou indo esta tarde a uma audiencia com o procurador-geral de justica do estado de minas gerais, dr. jarbas soares junior, para entregar formalmente o pedido.

vou dizer a ele que os reservatorios estao transbordando, entao nao ha justificativa para a manutencao dessa tarifa, pelo menos nao nos municipios que perderam praticamente tudo, estao alagados e as pessoas ainda vao reconstruir suas vidas."
