name_muni,Name,Population,Medium_Salary,PIB_per_capita,Mesoregion,Microregion,GINI ,Area,Urban_Area,Demographic_Density
Monsenhor Paulo,"""Monsenhor Paulo""",8340 ,1.6,21996.58,Sul/Sudoeste de Minas,Varginha,0.721,216.540 ,1.77 ,38.51 
Montalvânia,"""Montalvânia""",14060 ,1.5,9679.02,Norte de Minas,Januária,0.613,1503.755 ,4.66 ,9.35 
Monte Alegre De Minas,"""Monte Alegre De Minas""",20170 ,1.8,28853.45,Triângulo Mineiro/Alto Paranaíba,Uberlândia,0.674,2595.957 ,4.44 ,7.77 
Monte Azul,"""Monte Azul""",20328 ,1.4,11107.17,Norte de Minas,Janaúba,0.659,1001.296 ,4.43 ,20.30 
Monte Belo,"""Monte Belo""",13046 ,1.8,24488.65,Sul/Sudoeste de Minas,São Sebastião do Paraíso,0.688,421.283 ,3.22 ,30.97 
Monte Carmelo,"""Monte Carmelo""",47689 ,1.8,26625.51,Triângulo Mineiro/Alto Paranaíba,Patrocínio,0.728,1343.035 ,11.74 ,35.51 
Monte Formoso,"""Monte Formoso""",4381 ,1.5,8274.65,Jequitinhonha,Almenara,0.541,385.553 ,0.39 ,11.36 
Monte Santo De Minas,"""Monte Santo De Minas""",20890 ,1.7,20859.35,Sul/Sudoeste de Minas,São Sebastião do Paraíso,0.71,594.632 ,5.62 ,35.13 
Monte Sião,"""Monte Sião""",24089 ,1.6,20100.6,Sul/Sudoeste de Minas,Poços de Caldas,0.724,291.594 ,5.99 ,82.61 
Montes Claros,"""Montes Claros""",414240 ,2.1,23426.26,Norte de Minas,Montes Claros,0.77,3589.811 ,73.51 ,115.39 
Montezuma,"""Montezuma""",6888 ,1.4,10329.91,Norte de Minas,Salinas,0.587,1130.419 ,1.13 ,6.09 
Morada Nova De Minas,"""Morada Nova De Minas""",9066 ,1.7,45399.87,Central Mineira,Três Marias,0.696,2084.275 ,3.45 ,4.35 
Morro Da Garça,"""Morro Da Garça""",2411 ,1.3,23159.27,Central Mineira,Curvelo,0.648,414.772 ,0.90 ,5.81 
Morro Do Pilar,"""Morro Do Pilar""",3133 ,1.8,12765.26,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.597,477.548 ,1.05 ,6.56 
Munhoz,"""Munhoz""",7451 ,1.7,17539.46,Sul/Sudoeste de Minas,Pouso Alegre,0.647,191.564 ,3.24 ,38.90 
Muriaé,"""Muriaé""",104108 ,1.7,22244.72,Zona da Mata,Muriaé,0.734,841.693 ,17.61 ,123.69 
Mutum,"""Mutum""",27635 ,1.8,17813.8,Vale do Rio Doce,Aimorés,0.644,1250.824 ,3.97 ,22.09 
