name_muni,Name,Population,Medium_Salary,PIB_per_capita,Mesoregion,Microregion,GINI ,Area,Urban_Area,Demographic_Density
Planura,"""Planura""",11145 ,1.9,43641.33,Triângulo Mineiro/Alto Paranaíba,Frutal,0.712,317.520 ,4.59 ,35.10 
Poço Fundo,"""Poço Fundo""",16388 ,1.7,19328.78,Sul/Sudoeste de Minas,Alfenas,0.691,474.244 ,3.00 ,34.56 
Poços De Caldas,"""Poços De Caldas""",163742 ,2.4,47397.24,Sul/Sudoeste de Minas,Poços de Caldas,0.779,546.958 ,40.60 ,299.37 
Pocrane,"""Pocrane""",8350 ,1.6,12405.63,Vale do Rio Doce,Aimorés,0.626,691.066 ,1.88 ,12.08 
Pompéu,"""Pompéu""",31047 ,1.9,29312.32,Central Mineira,Três Marias,0.689,2551.074 ,9.88 ,12.17 
Ponte Nova,"""Ponte Nova""",57776 ,1.8,33132.34,Zona da Mata,Ponte Nova,0.717,470.643 ,11.27 ,122.76 
Ponto Chique,"""Ponto Chique""",3747 ,1.4,11232.8,Norte de Minas,Montes Claros,0.606,602.799 ,0.97 ,6.22 
Ponto Dos Volantes,"""Ponto Dos Volantes""",10883 ,1.4,9040.58,Jequitinhonha,Araçuaí,0.595,1212.413 ,1.79 ,8.98 
Porteirinha,"""Porteirinha""",37438 ,1.6,11647.6,Norte de Minas,Janaúba,0.651,1749.683 ,6.03 ,21.40 
Porto Firme,"""Porto Firme""",10569 ,1.6,9826.48,Zona da Mata,Viçosa,0.634,284.777 ,1.79 ,37.11 
Poté,"""Poté""",13666 ,1.8,9787.71,Vale do Mucuri,Teófilo Otoni,0.624,625.111 ,3.18 ,21.86 
Pouso Alegre,"""Pouso Alegre""",152212 ,2.4,53360.98,Sul/Sudoeste de Minas,Pouso Alegre,0.774,542.797 ,39.64 ,280.42 
Pouso Alto,"""Pouso Alto""",6566 ,1.9,54800.62,Sul/Sudoeste de Minas,São Lourenço,0.71,263.034 ,2.19 ,24.96 
Prados,"""Prados""",9048 ,1.4,22793.77,Campo das Vertentes,São João Del Rei,0.689,264.115 ,2.99 ,34.26 
Prata,"""Prata""",28342 ,2,40520.41,Triângulo Mineiro/Alto Paranaíba,Uberlândia,0.695,4847.544 ,7.82 ,5.85 
Pratápolis,"""Pratápolis""",8406 ,1.8,21221.91,Sul/Sudoeste de Minas,Passos,0.729,215.516 ,1.70 ,39.00 
Pratinha,"""Pratinha""",3559 ,2.2,33899.97,Triângulo Mineiro/Alto Paranaíba,Araxá,0.721,622.478 ,0.60 ,5.72 
Presidente Bernardes,"""Presidente Bernardes""",4850 ,1.3,10945.4,Zona da Mata,Viçosa,0.632,236.798 ,0.79 ,20.48 
Presidente Juscelino,"""Presidente Juscelino""",3465 ,1.6,14907.53,Central Mineira,Curvelo,0.614,695.882 ,1.02 ,4.98 
Presidente Kubitschek,"""Presidente Kubitschek""",3071 ,1.6,10965.84,Jequitinhonha,Diamantina,0.595,189.235 ,0.64 ,16.23 
Presidente Olegário,"""Presidente Olegário""",18765 ,1.9,28751.77,Noroeste de Minas,Paracatu,0.701,3503.848 ,5.39 ,5.36 
Prudente De Morais,"""Prudente De Morais""",11466 ,1.8,16203.3,Metropolitana de Belo Horizonte,Sete Lagoas,0.69,124.189 ,3.66 ,92.33 
Quartel Geral,"""Quartel Geral""",3179 ,1.5,18848.23,Central Mineira,Bom Despacho,0.683,556.436 ,1.65 ,5.71 
Queluzito,"""Queluzito""",1770 ,1.8,19487.7,Metropolitana de Belo Horizonte,Conselheiro Lafaiete,0.682,153.560 ,0.40 ,11.53 
Raposos,"""Raposos""",16279 ,1.6,15586.37,Metropolitana de Belo Horizonte,Belo Horizonte,0.73,72.228 ,2.49 ,225.38 
Raul Soares,"""Raul Soares""",23423 ,1.7,15192.1,Zona da Mata,Ponte Nova,0.655,763.364 ,4.22 ,30.68 
Recreio,"""Recreio""",11007 ,1.4,10498.16,Zona da Mata,Cataguases,0.692,234.296 ,2.39 ,46.98 
Reduto,"""Reduto""",7848 ,1.7,14794.69,Zona da Mata,Manhuaçu,0.629,151.859 ,1.51 ,51.68 
Resende Costa,"""Resende Costa""",11230 ,1.6,16691.36,Campo das Vertentes,São João Del Rei,0.685,618.312 ,3.53 ,18.16 
Resplendor,"""Resplendor""",17226 ,1.6,14465.83,Vale do Rio Doce,Aimorés,0.67,1081.796 ,3.28 ,15.92 
Ressaquinha,"""Ressaquinha""",4548 ,1.9,57778.14,Campo das Vertentes,Barbacena,0.683,183.062 ,1.54 ,24.84 
Riachinho,"""Riachinho""",6863 ,2.1,16684.32,Norte de Minas,Pirapora,0.632,1719.266 ,2.06 ,3.99 
Riacho Dos Machados,"""Riacho Dos Machados""",8756 ,2.9,47007.83,Norte de Minas,Janaúba,0.627,1315.540 ,1.31 ,6.66 
Ribeirão Das Neves,"""Ribeirão Das Neves""",329794 ,1.8,13099.23,Metropolitana de Belo Horizonte,Belo Horizonte,0.684,155.105 ,53.00 ,2126.26 
Ribeirão Vermelho,"""Ribeirão Vermelho""",4080 ,1.5,27918.18,Campo das Vertentes,Lavras,0.737,49.251 ,1.27 ,82.84 
Rio Acima,"""Rio Acima""",10261 ,2.2,23266.26,Metropolitana de Belo Horizonte,Belo Horizonte,0.673,228.394 ,4.07 ,44.93 
Rio Casca,"""Rio Casca""",12789 ,1.6,16300.71,Zona da Mata,Ponte Nova,0.65,384.381 ,2.88 ,33.27 
Rio Do Prado,"""Rio Do Prado""",4639 ,1.6,9824.6,Jequitinhonha,Almenara,0.605,479.815 ,0.96 ,9.67 
Rio Doce,"""Rio Doce""",2484 ,2.3,18786.49,Zona da Mata,Ponte Nova,0.664,112.094 ,0.77 ,22.16 
Rio Espera,"""Rio Espera""",5429 ,1.5,9985.01,Zona da Mata,Viçosa,0.602,238.602 ,1.11 ,22.75 
Rio Manso,"""Rio Manso""",5568 ,1.6,17471.88,Metropolitana de Belo Horizonte,Itaguara,0.648,231.540 ,3.74 ,24.05 
Rio Novo,"""Rio Novo""",8518 ,1.5,13070.42,Zona da Mata,Juiz de Fora,0.707,209.310 ,2.62 ,40.70 
Rio Paranaíba,"""Rio Paranaíba""",14532 ,2.1,60336.12,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,0.709,1352.353 ,3.41 ,10.75 
Rio Pardo De Minas,"""Rio Pardo De Minas""",28271 ,1.5,9192.71,Norte de Minas,Salinas,0.624,3117.675 ,3.11 ,9.07 
Rio Piracicaba,"""Rio Piracicaba""",14631 ,2.1,60207.35,Metropolitana de Belo Horizonte,Itabira,0.685,373.037 ,3.79 ,39.22 
Rio Pomba,"""Rio Pomba""",17443 ,2.4,22357.48,Zona da Mata,Ubá,0.714,252.418 ,3.09 ,69.10 
Rio Preto,"""Rio Preto""",5141 ,1.4,12697.15,Zona da Mata,Juiz de Fora,0.679,348.046 ,1.20 ,14.77 
Rio Vermelho,"""Rio Vermelho""",12638 ,1.5,9786.27,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.558,986.561 ,1.84 ,12.81 
Ritápolis,"""Ritápolis""",4994 ,1.7,17685.75,Campo das Vertentes,São João Del Rei,0.653,404.805 ,2.03 ,12.34 
Rochedo De Minas,"""Rochedo De Minas""",2291 ,1.7,47799.58,Zona da Mata,Juiz de Fora,0.684,79.402 ,0.68 ,28.85 
Rodeiro,"""Rodeiro""",8664 ,1.9,55863.92,Zona da Mata,Ubá,0.668,72.673 ,2.24 ,119.22 
Romaria,"""Romaria""",3386 ,1.8,49001.23,Triângulo Mineiro/Alto Paranaíba,Patrocínio,0.708,407.557 ,0.81 ,8.31 
Rosário Da Limeira,"""Rosário Da Limeira""",4734 ,1.5,11540.78,Zona da Mata,Muriaé,0.662,111.156 ,0.85 ,42.59 
Rubelita,"""Rubelita""",5679 ,1.2,10518.05,Norte de Minas,Salinas,0.582,1110.295 ,0.57 ,5.11 
Rubim,"""Rubim""",10298 ,1.8,9918.58,Jequitinhonha,Almenara,0.609,965.174 ,1.70 ,10.67 
Sabará,"""Sabará""",129372 ,2.4,22999.64,Metropolitana de Belo Horizonte,Belo Horizonte,0.731,302.453 ,31.31 ,427.74 
Sabinópolis,"""Sabinópolis""",14240 ,1.7,13189.94,Vale do Rio Doce,Guanhães,0.638,919.811 ,2.54 ,15.48 
Sacramento,"""Sacramento""",26670 ,2,61065.89,Triângulo Mineiro/Alto Paranaíba,Araxá,0.732,3073.268 ,7.83 ,8.68 
Salinas,"""Salinas""",40178 ,1.5,14367.05,Norte de Minas,Salinas,0.679,1862.117 ,9.25 ,21.58 
Salto Da Divisa,"""Salto Da Divisa""",6110 ,2,14582.7,Jequitinhonha,Almenara,0.608,938.008 ,1.56 ,6.51 
Santa Bárbara,"""Santa Bárbara""",30466 ,2.6,34859.6,Metropolitana de Belo Horizonte,Itabira,0.707,684.505 ,8.61 ,44.51 
Santa Bárbara Do Leste,"""Santa Bárbara Do Leste""",8458 ,1.6,11900.9,Vale do Rio Doce,Caratinga,0.613,107.402 ,0.78 ,78.75 
Santa Bárbara Do Monte Verde,"""Santa Bárbara Do Monte Verde""",3095 ,1.5,16014.68,Zona da Mata,Juiz de Fora,0.606,417.925 ,0.71 ,7.41 
Santa Bárbara Do Tugúrio,"""Santa Bárbara Do Tugúrio""",4208 ,1.6,15355.35,Campo das Vertentes,Barbacena,0.637,194.564 ,1.11 ,21.63 
Santa Cruz De Minas,"""Santa Cruz De Minas""",8109 ,1.4,10312.09,Campo das Vertentes,São João Del Rei,0.706,3.565 ,1.29 ,2274.61 
Santa Cruz De Salinas,"""Santa Cruz De Salinas""",3910 ,1.5,10812.57,Norte de Minas,Salinas,0.577,589.607 ,0.64 ,6.63 
Santa Cruz Do Escalvado,"""Santa Cruz Do Escalvado""",4673 ,2,12275.8,Zona da Mata,Ponte Nova,0.625,258.726 ,0.93 ,18.06 
Santa Efigênia De Minas,"""Santa Efigênia De Minas""",4039 ,1.4,10619.49,Vale do Rio Doce,Guanhães,0.607,131.965 ,1.06 ,30.61 
Santa Fé De Minas,"""Santa Fé De Minas""",3522 ,1.4,12867.88,Norte de Minas,Pirapora,0.615,2917.448 ,1.00 ,1.21 
Santa Helena De Minas,"""Santa Helena De Minas""",5938 ,1.7,8512.39,Vale do Mucuri,Nanuque,0.567,276.433 ,1.03 ,21.48 
Santa Juliana,"""Santa Juliana""",15734 ,2.5,48973.02,Triângulo Mineiro/Alto Paranaíba,Araxá,0.706,723.784 ,3.10 ,21.74 
Santa Luzia,"""Santa Luzia""",218805 ,2.2,20505.41,Metropolitana de Belo Horizonte,Belo Horizonte,0.715,235.205 ,42.50 ,930.27 
Santa Margarida,"""Santa Margarida""",16395 ,1.8,18756.6,Zona da Mata,Manhuaçu,0.61,255.730 ,2.18 ,64.11 
Santa Maria De Itabira,"""Santa Maria De Itabira""",10491 ,1.5,17404.04,Metropolitana de Belo Horizonte,Itabira,0.648,597.441 ,2.23 ,17.56 
Santa Maria Do Salto,"""Santa Maria Do Salto""",4755 ,1.5,9002.23,Jequitinhonha,Almenara,0.613,440.605 ,0.77 ,10.79 
Santa Maria Do Suaçuí,"""Santa Maria Do Suaçuí""",12788 ,1.4,10633.4,Vale do Rio Doce,Peçanha,0.64,624.047 ,2.71 ,20.49 
Santa Rita De Caldas,"""Santa Rita De Caldas""",8460 ,1.9,20668.11,Sul/Sudoeste de Minas,Poços de Caldas,0.69,503.011 ,1.72 ,16.82 
Santa Rita De Ibitipoca,"""Santa Rita De Ibitipoca""",3301 ,1.7,18783.42,Zona da Mata,Juiz de Fora,0.63,324.234 ,0.73 ,10.18 
Santa Rita De Jacutinga,"""Santa Rita De Jacutinga""",4755 ,1.4,13777.15,Zona da Mata,Juiz de Fora,0.682,420.940 ,1.09 ,11.30 
Santa Rita De Minas,"""Santa Rita De Minas""",6773 ,1.5,17215.93,Vale do Rio Doce,Caratinga,0.613,68.153 ,0.78 ,99.38 
Santa Rita Do Itueto,"""Santa Rita Do Itueto""",5826 ,1.8,22460.91,Vale do Rio Doce,Aimorés,0.607,485.081 ,0.73 ,12.01 
Santa Rita Do Sapucaí,"""Santa Rita Do Sapucaí""",40635 ,2.4,37969.3,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.721,352.969 ,10.17 ,115.12 
Santa Rosa Da Serra,"""Santa Rosa Da Serra""",3382 ,1.8,22156.2,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,0.705,284.334 ,1.01 ,11.89 
Santa Vitória,"""Santa Vitória""",20973 ,2.4,35039.62,Triângulo Mineiro/Alto Paranaíba,Ituiutaba,0.71,2998.364 ,6.89 ,6.99 
Santana Da Vargem,"""Santana Da Vargem""",6639 ,1.8,22466.55,Sul/Sudoeste de Minas,Varginha,0.698,172.444 ,1.19 ,38.50 
Santana De Cataguases,"""Santana De Cataguases""",3489 ,1.6,11767.31,Zona da Mata,Cataguases,0.694,161.486 ,0.70 ,21.61 
Santana De Pirapama,"""Santana De Pirapama""",7030 ,1.7,13670.55,Metropolitana de Belo Horizonte,Sete Lagoas,0.628,1255.832 ,1.61 ,5.60 
Santana Do Deserto,"""Santana Do Deserto""",3747 ,2.2,11311.05,Zona da Mata,Juiz de Fora,0.651,182.655 ,1.20 ,20.51 
Santana Do Garambéu,"""Santana Do Garambéu""",2137 ,1.9,14257.44,Campo das Vertentes,São João Del Rei,0.667,203.074 ,0.60 ,10.52 
Santana Do Jacaré,"""Santana Do Jacaré""",4214 ,1.7,19815.61,Oeste de Minas,Campo Belo,0.647,106.169 ,0.88 ,39.69 
Santana Do Manhuaçu,"""Santana Do Manhuaçu""",8987 ,1.4,16300,Zona da Mata,Manhuaçu,0.621,347.362 ,0.91 ,25.87 
Santana Do Paraíso,"""Santana Do Paraíso""",44800 ,1.9,21964.52,Vale do Rio Doce,Ipatinga,0.685,276.067 ,11.02 ,162.28 
Santana Do Riacho,"""Santana Do Riacho""",5313 ,1.5,20829.39,Metropolitana de Belo Horizonte,Sete Lagoas,0.665,677.207 ,4.27 ,7.85 
Santana Dos Montes,"""Santana Dos Montes""",3469 ,1.7,12088.82,Metropolitana de Belo Horizonte,Conselheiro Lafaiete,0.647,196.565 ,0.89 ,17.65 
Santo Antônio Do Amparo,"""Santo Antônio Do Amparo""",17285 ,1.8,17170.1,Oeste de Minas,Oliveira,0.672,488.885 ,3.74 ,35.36 
Santo Antônio Do Aventureiro,"""Santo Antônio Do Aventureiro""",3769 ,1.7,15545.66,Zona da Mata,Cataguases,0.671,202.032 ,0.95 ,18.66 
Santo Antônio Do Grama,"""Santo Antônio Do Grama""",4229 ,1.7,20433.4,Zona da Mata,Ponte Nova,0.633,130.213 ,0.74 ,32.48 
Santo Antônio Do Itambé,"""Santo Antônio Do Itambé""",3915 ,1.7,11420.27,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.558,305.737 ,0.49 ,12.81 
Santo Antônio Do Jacinto,"""Santo Antônio Do Jacinto""",10327 ,1.6,8709.97,Jequitinhonha,Almenara,0.574,503.706 ,1.21 ,20.50 
Santo Antônio Do Monte,"""Santo Antônio Do Monte""",27295 ,1.5,24527.56,Oeste de Minas,Divinópolis,0.724,1125.780 ,7.28 ,24.25 
Santo Antônio Do Retiro,"""Santo Antônio Do Retiro""",6629 ,1.6,8463.5,Norte de Minas,Salinas,0.57,796.290 ,0.85 ,8.32 
Santo Antônio Do Rio Abaixo,"""Santo Antônio Do Rio Abaixo""",1808 ,1.8,15871.23,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.669,107.269 ,0.68 ,16.85 
Santo Hipólito,"""Santo Hipólito""",2717 ,1.7,14311.29,Central Mineira,Curvelo,0.657,430.656 ,1.36 ,6.31 
Santos Dumont,"""Santos Dumont""",42406 ,1.8,22040.91,Zona da Mata,Juiz de Fora,0.741,637.373 ,8.91 ,66.53 
São Bento Abade,"""São Bento Abade""",4713 ,2.4,14576.19,Sul/Sudoeste de Minas,Varginha,0.672,80.403 ,1.22 ,58.62 
São Brás Do Suaçuí,"""São Brás Do Suaçuí""",3989 ,1.8,18417.32,Metropolitana de Belo Horizonte,Conselheiro Lafaiete,0.664,110.019 ,2.17 ,36.26 
São Domingos Das Dores,"""São Domingos Das Dores""",5626 ,1.7,13976.14,Vale do Rio Doce,Caratinga,0.638,60.865 ,0.68 ,92.43 
São Domingos Do Prata,"""São Domingos Do Prata""",17392 ,1.7,16496.65,Metropolitana de Belo Horizonte,Itabira,0.69,743.768 ,3.36 ,23.38 
São Félix De Minas,"""São Félix De Minas""",3200 ,1.5,12800.2,Vale do Rio Doce,Mantena,0.62,162.560 ,0.73 ,19.69 
São Francisco,"""São Francisco""",52762 ,1.7,10369.52,Norte de Minas,Januária,0.638,3308.100 ,12.11 ,15.95 
São Francisco De Paula,"""São Francisco De Paula""",6187 ,1.6,16980.87,Oeste de Minas,Oliveira,0.66,316.822 ,1.46 ,19.53 
São Francisco De Sales,"""São Francisco De Sales""",5732 ,1.7,24920.51,Triângulo Mineiro/Alto Paranaíba,Frutal,0.688,1128.864 ,1.93 ,5.08 
São Francisco Do Glória,"""São Francisco Do Glória""",4800 ,1.6,13983.11,Zona da Mata,Muriaé,0.663,164.613 ,0.95 ,29.16 
São Geraldo,"""São Geraldo""",10282 ,1.6,19263.95,Zona da Mata,Ubá,0.651,185.578 ,2.81 ,55.41 
São Geraldo Da Piedade,"""São Geraldo Da Piedade""",3305 ,1.4,10271.9,Vale do Rio Doce,Governador Valadares,0.6,152.336 ,0.87 ,21.70 
São Geraldo Do Baixio,"""São Geraldo Do Baixio""",3143 ,1.5,11847.17,Vale do Rio Doce,Governador Valadares,0.63,280.954 ,0.92 ,11.19 
São Gonçalo Do Abaeté,"""São Gonçalo Do Abaeté""",7375 ,1.7,30520.01,Noroeste de Minas,Paracatu,0.67,2692.545 ,2.67 ,2.74 
São Gonçalo Do Pará,"""São Gonçalo Do Pará""",11770 ,1.6,17964.97,Oeste de Minas,Divinópolis,0.689,265.730 ,4.15 ,44.29 
São Gonçalo Do Rio Abaixo,"""São Gonçalo Do Rio Abaixo""",11850 ,3.1,224983.89,Metropolitana de Belo Horizonte,Itabira,0.667,363.828 ,3.52 ,32.57 
São Gonçalo Do Rio Preto,"""São Gonçalo Do Rio Preto""",3032 ,1.5,12318.87,Jequitinhonha,Diamantina,0.64,314.458 ,0.77 ,9.64 
São Gonçalo Do Sapucaí,"""São Gonçalo Do Sapucaí""",23959 ,1.8,30370.58,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.715,516.683 ,6.14 ,46.37 
São Gotardo,"""São Gotardo""",40910 ,2.1,27445.84,Triângulo Mineiro/Alto Paranaíba,Patos de Minas,0.736,866.087 ,7.12 ,47.24 
São João Batista Do Glória,"""São João Batista Do Glória""",7652 ,1.8,26771.01,Sul/Sudoeste de Minas,Passos,0.724,547.908 ,1.95 ,13.97 
São João Da Lagoa,"""São João Da Lagoa""",4822 ,1.6,11103,Norte de Minas,Montes Claros,0.634,998.015 ,0.92 ,4.83 
São João Da Mata,"""São João Da Mata""",2914 ,1.8,18282.42,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.653,120.536 ,0.63 ,24.18 
São João Da Ponte,"""São João Da Ponte""",23930 ,1.7,10177.25,Norte de Minas,Montes Claros,0.569,1851.102 ,4.06 ,12.93 
São João Das Missões,"""São João Das Missões""",13024 ,1.7,6855.16,Norte de Minas,Januária,0.529,678.274 ,1.71 ,19.20 
São João Del Rei,"""São João Del-Rei""",90225 ,2.4,27659.48,Campo das Vertentes,São João Del Rei,0.758,1452.002 ,24.02 ,62.14 
São João Do Manhuaçu,"""São João Do Manhuaçu""",11246 ,1.5,12978.78,Zona da Mata,Manhuaçu,0.65,143.096 ,1.57 ,78.59 
São João Do Manteninha,"""São João Do Manteninha""",5331 ,1.4,12345.97,Vale do Rio Doce,Mantena,0.64,137.928 ,1.64 ,38.65 
São João Do Oriente,"""São João Do Oriente""",7070 ,1.7,13545.19,Vale do Rio Doce,Caratinga,0.648,120.122 ,1.73 ,58.86 
São João Do Pacuí,"""São João Do Pacuí""",3971 ,1.4,9023.87,Norte de Minas,Montes Claros,0.625,415.922 ,0.63 ,9.55 
São João Do Paraíso,"""São João Do Paraíso""",23910 ,1.5,10651.84,Norte de Minas,Salinas,0.615,1925.575 ,2.62 ,12.42 
São João Evangelista,"""São João Evangelista""",15315 ,1.5,13930.45,Vale do Rio Doce,Guanhães,0.638,478.183 ,4.05 ,32.03 
São João Nepomuceno,"""São João Nepomuceno""",25565 ,1.4,16277.41,Zona da Mata,Juiz de Fora,0.708,407.427 ,6.08 ,62.75 
São Joaquim De Bicas,"""São Joaquim De Bicas""",34348 ,2.2,22018.67,Metropolitana de Belo Horizonte,Belo Horizonte,0.662,71.758 ,15.09 ,478.66 
São José Da Barra,"""São José Da Barra""",7793 ,4,108329.2,Sul/Sudoeste de Minas,Passos,0.739,308.319 ,3.24 ,25.28 
São José Da Lapa,"""São José Da Lapa""",26015 ,2.5,23295.01,Metropolitana de Belo Horizonte,Belo Horizonte,0.729,47.930 ,7.93 ,542.77 
São José Da Safira,"""São José Da Safira""",3806 ,1.4,9403.6,Vale do Rio Doce,Governador Valadares,0.583,213.881 ,0.75 ,17.79 
São José Da Varginha,"""São José Da Varginha""",4536 ,1.7,21076.25,Metropolitana de Belo Horizonte,Pará de Minas,0.704,205.501 ,1.25 ,22.07 
São José Do Alegre,"""São José Do Alegre""",4133 ,1.8,12371.06,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.717,88.794 ,0.84 ,46.55 
São José Do Divino,"""São José Do Divino""",3464 ,1.7,11829.71,Vale do Rio Doce,Governador Valadares,0.658,328.704 ,0.69 ,10.54 
São José Do Goiabal,"""São José Do Goiabal""",5396 ,1.6,11351.67,Metropolitana de Belo Horizonte,Itabira,0.666,189.578 ,0.89 ,28.46 
São José Do Jacuri,"""São José Do Jacuri""",6197 ,1.6,14911.95,Vale do Rio Doce,Peçanha,0.566,345.146 ,0.94 ,17.95 
São José Do Mantimento,"""São José Do Mantimento""",2753 ,1.6,14109.66,Zona da Mata,Manhuaçu,0.657,54.701 ,0.53 ,50.33 
São Lourenço,"""São Lourenço""",44798 ,1.7,22617.36,Sul/Sudoeste de Minas,São Lourenço,0.759,58.019 ,10.36 ,772.13 
São Miguel Do Anta,"""São Miguel Do Anta""",6334 ,1.7,13634.86,Zona da Mata,Viçosa,0.644,152.111 ,1.14 ,41.64 
São Pedro Da União,"""São Pedro Da União""",4885 ,1.9,23771.91,Sul/Sudoeste de Minas,São Sebastião do Paraíso,0.674,260.827 ,1.46 ,18.73 
São Pedro Do Suaçuí,"""São Pedro Do Suaçuí""",5103 ,1.5,15099.81,Vale do Rio Doce,Peçanha,0.622,308.106 ,0.90 ,16.56 
São Pedro Dos Ferros,"""São Pedro Dos Ferros""",7166 ,1.6,15987.95,Zona da Mata,Ponte Nova,0.659,402.739 ,1.19 ,17.79 
São Romão,"""São Romão""",10315 ,1.5,13446.49,Norte de Minas,Pirapora,0.64,2434.004 ,2.12 ,4.24 
São Roque De Minas,"""São Roque De Minas""",7129 ,2,39268.41,Oeste de Minas,Piuí,0.672,2098.867 ,1.79 ,3.40 
São Sebastião Da Bela Vista,"""São Sebastião Da Bela Vista""",6387 ,1.9,70688.08,Sul/Sudoeste de Minas,Santa Rita do Sapucaí,0.692,167.428 ,1.96 ,38.15 
São Sebastião Da Vargem Alegre,"""São Sebastião Da Vargem Alegre""",3113 ,1.7,17558.83,Zona da Mata,Muriaé,0.66,73.629 ,0.55 ,42.28 
São Sebastião Do Anta,"""São Sebastião Do Anta""",6194 ,1.5,12439.19,Vale do Rio Doce,Caratinga,0.607,80.618 ,1.61 ,76.83 
São Sebastião Do Maranhão,"""São Sebastião Do Maranhão""",10079 ,1.4,9332.97,Vale do Rio Doce,Peçanha,0.581,517.830 ,1.58 ,19.46 
São Sebastião Do Oeste,"""São Sebastião Do Oeste""",8815 ,1.9,87340.22,Oeste de Minas,Divinópolis,0.626,408.090 ,2.37 ,21.60 
São Sebastião Do Paraíso,"""São Sebastião Do Paraíso""",71796 ,1.9,28923,Sul/Sudoeste de Minas,São Sebastião do Paraíso,0.722,814.925 ,19.72 ,88.10 
São Sebastião Do Rio Preto,"""São Sebastião Do Rio Preto""",1259 ,1.7,15725.92,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.632,128.002 ,0.54 ,9.84 
São Sebastião Do Rio Verde,"""São Sebastião Do Rio Verde""",2300 ,1.7,15399.5,Sul/Sudoeste de Minas,São Lourenço,0.676,90.848 ,0.56 ,25.32 
São Tomé Das Letras,"""São Tomé Das Letras""",6904 ,1.4,15920.53,Sul/Sudoeste de Minas,Varginha,0.667,369.747 ,0.70 ,18.67 
São Tiago,"""São Tiago""",11192 ,1.6,18855.38,Campo das Vertentes,São João Del Rei,0.662,572.400 ,3.01 ,19.55 
São Tomás De Aquino,"""São Tomás De Aquino""",6740 ,1.8,23728.13,Sul/Sudoeste de Minas,São Sebastião do Paraíso,0.7,277.928 ,1.07 ,24.25 
São Vicente De Minas,"""São Vicente De Minas""",6804 ,1.7,23311.62,Sul/Sudoeste de Minas,Andrelândia,0.715,392.651 ,1.76 ,17.33 
Sapucaí-Mirim,"""Sapucaí-Mirim""",6311 ,1.5,15674.7,Sul/Sudoeste de Minas,Pouso Alegre,0.68,285.073 ,1.82 ,22.14 
Sardoá,"""Sardoá""",5104 ,1.4,10076.29,Vale do Rio Doce,Guanhães,0.636,141.904 ,1.07 ,35.97 
Sarzedo,"""Sarzedo""",36844 ,2.5,34967.99,Metropolitana de Belo Horizonte,Belo Horizonte,0.734,62.134 ,7.58 ,592.98 
Sem-Peixe,"""Sem-Peixe""",2433 ,1.4,12887.31,Zona da Mata,Ponte Nova,0.654,176.634 ,0.48 ,13.77 
Senador Amaral,"""Senador Amaral""",6206 ,1.4,14350.04,Sul/Sudoeste de Minas,Pouso Alegre,0.661,151.097 ,1.12 ,41.07 
Senador Cortes,"""Senador Cortes""",2240 ,1.3,17482.98,Zona da Mata,Juiz de Fora,0.674,98.336 ,0.44 ,22.78 
Senador Firmino,"""Senador Firmino""",7716 ,1.5,12778.57,Zona da Mata,Ubá,0.644,166.495 ,2.40 ,46.34 
Senador José Bento,"""Senador José Bento""",2068 ,1.5,19461.99,Sul/Sudoeste de Minas,Pouso Alegre,0.684,93.892 ,0.31 ,22.03 
Senador Modestino Gonçalves,"""Senador Modestino Gonçalves""",4008 ,1.7,21102.69,Jequitinhonha,Diamantina,0.62,952.055 ,0.73 ,4.21 
Senhora De Oliveira,"""Senhora De Oliveira""",5483 ,1.7,12951.74,Zona da Mata,Viçosa,0.631,170.749 ,1.71 ,32.11 
Senhora Do Porto,"""Senhora Do Porto""",3067 ,1.6,11518.37,Vale do Rio Doce,Guanhães,0.565,381.328 ,0.54 ,8.04 
Senhora Dos Remédios,"""Senhora Dos Remédios""",10384 ,1.6,9711.31,Campo das Vertentes,Barbacena,0.626,237.815 ,2.45 ,43.66 
Sericita,"""Sericita""",7345 ,1.2,15487.36,Zona da Mata,Ponte Nova,0.56,166.012 ,0.97 ,44.24 
Seritinga,"""Seritinga""",1819 ,1.8,22906.5,Sul/Sudoeste de Minas,Andrelândia,0.66,114.769 ,0.50 ,15.85 
Serra Azul De Minas,"""Serra Azul De Minas""",3792 ,1.4,8961.35,Metropolitana de Belo Horizonte,Conceição do Mato Dentro,0.557,218.595 ,0.52 ,17.35 
Serra Da Saudade,"""Serra Da Saudade""",833 ,2.1,27133.08,Central Mineira,Bom Despacho,0.677,335.659 ,0.24 ,2.48 
Serra Do Salitre,"""Serra Do Salitre""",11801 ,2,52184.95,Triângulo Mineiro/Alto Paranaíba,Patrocínio,0.696,1295.272 ,2.43 ,9.11 
